City,Stadium,Capacity,half_time_home_goals,home_shots,home_shots_target,home_post,home_corners,home_offside,home_fouls,home_yellow_cards,home_red_cards,home_booking_pts,half_time_away_goals,away_shots,away_shots_target,away_post,away_corners,away_offside,away_fouls,away_yellow_cards,away_red_cards,away_booking_pts,half_time_result,full_time_home_goals,full_time_away_goals,result,Attendance,closest_station,season,date,home_team_api_id,away_team_api_id,possession,home_team,away_team,home_possession,home_passing,home_aerials,home_shots_against,home_tackles,home_interceptions,home_dribbles,home_fouls_for,away_possession,away_passing,away_aerials,away_shots_against,away_tackles,away_interceptions,away_dribbles,away_fouls_for,station,temp (F),dew (F),humidity,wind direction,wind speed (mph),prec (in),visibility (mi),home_goal_headers,home_goal_freekicks,home_goal_volleys,home_goal_other,away_goal_headers,away_goal_freekicks,away_goal_volleys,away_goal_other,home_shoton_headers,home_shoton_freekicks,home_shoton_volleys,home_shoton_other,home_shoton_bigchance,away_shoton_headers,away_shoton_freekicks,away_shoton_volleys,away_shoton_other,away_shoton_bigchance,home_shotoff_headers,home_shotoff_freekicks,home_shotoff_volleys,home_shotoff_other,home_shotoff_bigchance,home_shotoff_bad_shot,away_shotoff_headers,away_shotoff_freekicks,away_shotoff_volleys,away_shotoff_other,away_shotoff_bigchance,away_shotoff_bad_shot,home_crosses,away_crosses
London ,Emirates Stadium ,60361.0,1,14,6,,9,,13,2,0,,1,4,2,,3,,19,2,1,,D,2,1,H,,EGLC,2014/2015,2014-08-16 15:00:00,9825.0,9826.0,<possession><value><comment>78</comment><event_incident_typefk>352</event_incident_typefk><elapsed>24</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>22</awaypos><homepos>78</homepos><n>128</n><type>special</type><id>3647521</id></value><value><comment>74</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>3</sortorder><awaypos>26</awaypos><homepos>74</homepos><n>149</n><type>special</type><id>3647655</id></value><value><comment>75</comment><event_incident_typefk>352</event_incident_typefk><elapsed>66</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>25</awaypos><homepos>75</homepos><n>93</n><type>special</type><id>3647956</id></value><value><comment>77</comment><elapsed_plus>4</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>11</sortorder><awaypos>23</awaypos><homepos>77</homepos><n>147</n><type>special</type><id>3648227</id></value></possession>,Arsenal,Crystal Palace,55.7,83.8,19.8,10.7,19.4,20.2,15.8,11.0,42.7,69.4,23.7,13.8,20.8,15.8,9.4,11.4,EGLC,68.0,47.3,47.49,270.0,16.15,0.0,6.21,1,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,3,0,1,1,0,3,0,0,0,0,0,0,0,0,32,9
Leicester ,King Power Stadium ,32500.0,1,11,3,,3,,16,1,0,,2,13,3,,6,,10,1,0,,A,2,2,D,,EGNX,2014/2015,2014-08-16 15:00:00,8197.0,8668.0,<possession><value><comment>39</comment><event_incident_typefk>352</event_incident_typefk><elapsed>23</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>61</awaypos><homepos>39</homepos><n>45</n><type>special</type><id>3645948</id></value><value><comment>36</comment><event_incident_typefk>352</event_incident_typefk><elapsed>44</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>64</awaypos><homepos>36</homepos><n>73</n><type>special</type><id>3646197</id></value><value><comment>37</comment><event_incident_typefk>352</event_incident_typefk><elapsed>69</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>63</awaypos><homepos>37</homepos><n>123</n><type>special</type><id>3646619</id></value><value><comment>36</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>11</sortorder><awaypos>64</awaypos><homepos>36</homepos><n>167</n><type>special</type><id>3646942</id></value></possession>,Leicester,Everton,44.8,71.1,23.4,14.7,20.8,19.6,9.2,9.2,53.6,82.5,15.3,13.2,17.4,11.7,10.3,11.8,EGNX,63.5,48.2,57.445,255.0,20.7,0.0,6.21,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,7,0,2,1,0,3,0,0,2,0,0,2,0,0,18,12
Stretford ,Old Trafford ,75811.0,0,14,5,,4,,14,2,0,,1,5,4,,0,,20,4,0,,A,1,2,A,,EGCC,2014/2015,2014-08-16 15:00:00,10260.0,10003.0,<possession><value><comment>60</comment><event_incident_typefk>352</event_incident_typefk><elapsed>21</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>40</awaypos><homepos>60</homepos><n>38</n><type>special</type><id>3645530</id></value><value><comment>61</comment><event_incident_typefk>352</event_incident_typefk><elapsed>43</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>39</awaypos><homepos>61</homepos><n>83</n><type>special</type><id>3645585</id></value><value><comment>58</comment><event_incident_typefk>352</event_incident_typefk><elapsed>66</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>42</awaypos><homepos>58</homepos><n>128</n><type>special</type><id>3645633</id></value><value><comment>58</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>7</sortorder><awaypos>42</awaypos><homepos>58</homepos><n>178</n><type>special</type><id>3645689</id></value></possession>,Manchester United,Swansea,58.8,85.1,15.8,10.1,19.4,17.9,9.8,10.4,50.7,82.1,14.4,14.6,16.7,18.2,9.2,12.2,EGCC,60.8,49.1,65.345,270.0,15.55,0.0,6.21,0,0,0,1,0,0,1,1,1,1,0,6,0,0,0,0,3,0,2,0,0,3,0,0,0,0,0,1,0,0,28,5
London ,Loftus Road ,18439.0,0,19,6,,8,,10,1,0,,0,11,4,,9,,10,2,0,,D,0,1,A,,EGWU,2014/2015,2014-08-16 15:00:00,10172.0,8667.0,<possession><value><comment>46</comment><event_incident_typefk>352</event_incident_typefk><elapsed>22</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>54</awaypos><homepos>46</homepos><n>41</n><type>special</type><id>3645947</id></value><value><comment>49</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>3</sortorder><awaypos>51</awaypos><homepos>49</homepos><n>85</n><type>special</type><id>3646227</id></value><value><comment>49</comment><event_incident_typefk>352</event_incident_typefk><elapsed>67</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>51</awaypos><homepos>49</homepos><n>130</n><type>special</type><id>3646597</id></value><value><comment>51</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>6</sortorder><awaypos>49</awaypos><homepos>51</homepos><n>188</n><type>special</type><id>3646949</id></value></possession>,Queens Park Rangers,Hull,46.3,70.8,21.7,16.4,20.6,14.8,8.1,10.3,45.6,76.5,21.9,13.2,20.1,15.9,6.7,10.6,EGWU,66.2,44.6,45.6,290.0,17.3,0.0,6.21,0,0,0,1,1,0,0,0,2,0,0,9,1,0,1,0,4,1,1,1,0,2,0,0,1,0,0,1,1,0,32,21
Stoke-on-Trent ,Britannia Stadium ,27740.0,0,12,2,,2,,14,0,0,,0,7,2,,8,,9,3,0,,D,0,1,A,,EGOS,2014/2015,2014-08-16 15:00:00,10194.0,10252.0,<possession><value><comment>57</comment><event_incident_typefk>352</event_incident_typefk><elapsed>26</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>43</awaypos><homepos>57</homepos><n>47</n><type>special</type><id>3645989</id></value><value><comment>61</comment><event_incident_typefk>352</event_incident_typefk><elapsed>44</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>39</awaypos><homepos>61</homepos><n>100</n><type>special</type><id>3646199</id></value><value><comment>62</comment><event_incident_typefk>352</event_incident_typefk><elapsed>70</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>38</awaypos><homepos>62</homepos><n>178</n><type>special</type><id>3646630</id></value><value><comment>65</comment><event_incident_typefk>352</event_incident_typefk><elapsed>89</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>35</awaypos><homepos>65</homepos><n>198</n><type>special</type><id>3646895</id></value></possession>,Stoke,Aston Villa,50.2,77.5,24.4,12.0,19.3,13.2,9.4,10.8,49.1,79.0,18.5,12.6,16.4,12.7,7.6,11.1,EGOS,60.8,50.0,67.54,240.0,19.6,0.0,6.21,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,2,1,1,0,0,5,0,0,2,0,1,2,0,0,21,24
West Bromwich ,The Hawthorns ,27877.0,1,10,5,,6,,18,3,0,,1,7,2,,3,,9,1,0,,D,2,2,D,,EGBB,2014/2015,2014-08-16 15:00:00,8659.0,8472.0,<possession><value><comment>66</comment><event_incident_typefk>352</event_incident_typefk><elapsed>21</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>34</awaypos><homepos>66</homepos><n>20</n><type>special</type><id>3645933</id></value><value><comment>65</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>35</awaypos><homepos>65</homepos><n>61</n><type>special</type><id>3646222</id></value><value><comment>62</comment><event_incident_typefk>352</event_incident_typefk><elapsed>68</elapsed><subtype>possession</subtype><sortorder>3</sortorder><awaypos>38</awaypos><homepos>62</homepos><n>93</n><type>special</type><id>3646612</id></value><value><comment>57</comment><event_incident_typefk>352</event_incident_typefk><elapsed>88</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>43</awaypos><homepos>57</homepos><n>125</n><type>special</type><id>3646875</id></value></possession>,West Bromwich Albion,Sunderland,44.9,75.0,17.2,14.4,18.3,15.5,6.3,10.7,46.2,76.1,15.3,16.5,20.0,15.2,9.0,11.8,EGBB,63.5,47.3,55.5,265.0,13.85,0.0,6.21,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,1,0,0,20,11
London ,Boleyn Ground ,35303.0,0,18,4,,8,,12,1,1,,0,10,4,,5,,10,0,1,,D,0,1,A,,EGLC,2014/2015,2014-08-16 15:00:00,8654.0,8586.0,<possession><value><comment>38</comment><event_incident_typefk>352</event_incident_typefk><elapsed>26</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>62</awaypos><homepos>38</homepos><n>49</n><type>special</type><id>3645991</id></value><value><comment>45</comment><event_incident_typefk>352</event_incident_typefk><elapsed>44</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>55</awaypos><homepos>45</homepos><n>85</n><type>special</type><id>3646200</id></value><value><comment>50</comment><event_incident_typefk>352</event_incident_typefk><elapsed>66</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>50</awaypos><homepos>50</homepos><n>131</n><type>special</type><id>3646540</id></value><value><comment>47</comment><event_incident_typefk>352</event_incident_typefk><elapsed>87</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>53</awaypos><homepos>47</homepos><n>195</n><type>special</type><id>3646842</id></value></possession>,West Ham,Tottenham,46.7,74.6,22.9,15.5,17.0,13.3,6.8,11.0,55.3,81.2,16.0,12.9,21.4,17.8,10.9,10.1,EGLC,68.0,47.3,47.49,270.0,16.15,0.0,6.21,0,0,0,1,0,0,0,1,1,0,0,5,2,0,0,0,4,1,2,0,0,5,0,0,0,1,0,1,0,0,26,10
Liverpool ,Anfield ,45276.0,1,12,5,,2,,8,1,0,,0,12,6,,6,,11,2,0,,H,2,1,H,,EGGP,2014/2015,2014-08-17 15:00:00,8650.0,8466.0,<possession><value><comment>70</comment><event_incident_typefk>352</event_incident_typefk><elapsed>20</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>30</awaypos><homepos>70</homepos><n>56</n><type>special</type><id>3649422</id></value><value><comment>59</comment><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>41</awaypos><homepos>59</homepos><n>101</n><type>special</type><id>3649551</id></value><value><comment>58</comment><event_incident_typefk>352</event_incident_typefk><elapsed>67</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>42</awaypos><homepos>58</homepos><n>149</n><type>special</type><id>3649714</id></value><value><comment>56</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>8</sortorder><awaypos>44</awaypos><homepos>56</homepos><n>205</n><type>special</type><id>3649771</id></value></possession>,Liverpool,Southampton,54.4,82.8,15.0,10.9,21.0,11.6,11.5,12.3,51.9,79.7,16.9,10.1,21.4,16.5,7.0,10.4,EGGP,60.8,48.2,63.15,280.0,25.35,0.0,6.21,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,1,4,1,0,0,0,4,0,1,1,0,0,2,2,1,13,31
Newcastle upon Tyne ,Sports Direct Arena,52409.0,0,12,0,,3,,8,1,0,,1,13,5,,3,,11,5,0,,A,0,2,A,,EGNT,2014/2015,2014-08-17 15:00:00,10261.0,8456.0,<possession><value><comment>41</comment><event_incident_typefk>352</event_incident_typefk><elapsed>24</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>59</awaypos><homepos>41</homepos><n>34</n><type>special</type><id>3650013</id></value><value><comment>44</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>6</sortorder><awaypos>56</awaypos><homepos>44</homepos><n>87</n><type>special</type><id>3650254</id></value><value><comment>43</comment><event_incident_typefk>352</event_incident_typefk><elapsed>68</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>57</awaypos><homepos>43</homepos><n>138</n><type>special</type><id>3650512</id></value><value><comment>45</comment><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>55</awaypos><homepos>45</homepos><n>171</n><type>special</type><id>3650730</id></value></possession>,Newcastle United,Manchester City,48.1,76.9,17.7,11.7,21.7,16.9,11.7,11.6,57.0,84.6,15.9,10.2,19.8,15.0,11.4,7.8,EGNT,58.1,47.3,67.375,270.0,25.9,0.0,6.21,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,7,0,2,0,0,5,0,1,1,1,0,2,0,0,21,13
Burnley ,Turf Moor ,22546.0,1,9,2,,4,,6,1,0,,3,11,3,,3,,7,1,0,,A,1,3,A,,EGNM,2014/2015,2014-08-18 15:00:00,8191.0,8455.0,<possession><value><comment>35</comment><event_incident_typefk>352</event_incident_typefk><elapsed>23</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>65</awaypos><homepos>35</homepos><n>49</n><type>special</type><id>3652653</id></value><value><comment>35</comment><event_incident_typefk>352</event_incident_typefk><elapsed>44</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>65</awaypos><homepos>35</homepos><n>89</n><type>special</type><id>3652713</id></value><value><comment>36</comment><event_incident_typefk>352</event_incident_typefk><elapsed>65</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>64</awaypos><homepos>36</homepos><n>125</n><type>special</type><id>3652773</id></value><value><comment>38</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>62</awaypos><homepos>38</homepos><n>162</n><type>special</type><id>3652829</id></value></possession>,Burnley,Chelsea,44.0,70.4,25.1,15.6,16.1,14.9,6.4,10.5,54.1,83.2,18.6,10.9,20.0,9.7,12.9,11.4,EGNM,55.4,44.6,66.91,285.0,11.5,0.0,6.21,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,1,3,0,0,0,1,1,1,0,1,21,15
