away_corners,away_fouls,away_shots,away_shots_target,away_yellow_cards,away_red_cards,away_team,full_time_away_goals,full_time_home_goals,home_corners,home_fouls,home_red_cards,home_yellow_cards,home_shots,home_shots_target,half_time_away_goals,half_time_home_goals,half_time_result,home_team,Referee,result,City,Stadium,Capacity,Country,season,date,home_team_api_id,away_team_api_id,possession,temp (F),dew (F),humidity,wind direction,wind speed (mph),visibility (mi),home_goal_headers,home_goal_freekicks,home_goal_volleys,home_goal_other,away_goal_headers,away_goal_freekicks,away_goal_volleys,away_goal_other,home_shoton_headers,home_shoton_freekicks,home_shoton_volleys,home_shoton_other,home_shoton_bigchance,away_shoton_headers,away_shoton_freekicks,away_shoton_volleys,away_shoton_other,away_shoton_bigchance,home_shotoff_headers,home_shotoff_freekicks,home_shotoff_volleys,home_shotoff_other,home_shotoff_bigchance,home_shotoff_bad_shot,away_shotoff_headers,away_shotoff_freekicks,away_shotoff_volleys,away_shotoff_other,away_shotoff_bigchance,away_shotoff_bad_shot,home_crosses,away_crosses
3,19,4,2,2,1,Crystal Palace,1,2,9,13,0,2,14,6,1,1,1,Arsenal,J Moss,3,London ,Emirates Stadium ,60361.0,England,2014/2015,2014-08-16,9825,9826,<possession><value><comment>78</comment><event_incident_typefk>352</event_incident_typefk><elapsed>24</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>22</awaypos><homepos>78</homepos><n>128</n><type>special</type><id>3647521</id></value><value><comment>74</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>3</sortorder><awaypos>26</awaypos><homepos>74</homepos><n>149</n><type>special</type><id>3647655</id></value><value><comment>75</comment><event_incident_typefk>352</event_incident_typefk><elapsed>66</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>25</awaypos><homepos>75</homepos><n>93</n><type>special</type><id>3647956</id></value><value><comment>77</comment><elapsed_plus>4</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>11</sortorder><awaypos>23</awaypos><homepos>77</homepos><n>147</n><type>special</type><id>3648227</id></value></possession>,62.92,48.32,60.2057777778,269.333333333,12.2644444444,6.21,1,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,3,0,1,1,0,3,0,0,0,0,0,0,0,0,32,9
5,10,10,4,0,1,Tottenham,1,0,8,12,1,1,18,4,0,0,1,West Ham,C Foy,0,London ,Boleyn Ground ,35303.0,England,2014/2015,2014-08-16,8654,8586,<possession><value><comment>38</comment><event_incident_typefk>352</event_incident_typefk><elapsed>26</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>62</awaypos><homepos>38</homepos><n>49</n><type>special</type><id>3645991</id></value><value><comment>45</comment><event_incident_typefk>352</event_incident_typefk><elapsed>44</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>55</awaypos><homepos>45</homepos><n>85</n><type>special</type><id>3646200</id></value><value><comment>50</comment><event_incident_typefk>352</event_incident_typefk><elapsed>66</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>50</awaypos><homepos>50</homepos><n>131</n><type>special</type><id>3646540</id></value><value><comment>47</comment><event_incident_typefk>352</event_incident_typefk><elapsed>87</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>53</awaypos><homepos>47</homepos><n>195</n><type>special</type><id>3646842</id></value></possession>,62.92,48.32,60.2057777778,269.333333333,12.2644444444,6.21,0,0,0,1,0,0,0,1,1,0,0,5,2,0,0,0,4,1,2,0,0,5,0,0,0,1,0,1,0,0,26,10
6,10,13,3,1,0,Everton,2,2,3,16,0,1,11,3,2,1,0,Leicester,M Jones,1,Leicester ,King Power Stadium ,32500.0,England,2014/2015,2014-08-16,8197,8668,<possession><value><comment>39</comment><event_incident_typefk>352</event_incident_typefk><elapsed>23</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>61</awaypos><homepos>39</homepos><n>45</n><type>special</type><id>3645948</id></value><value><comment>36</comment><event_incident_typefk>352</event_incident_typefk><elapsed>44</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>64</awaypos><homepos>36</homepos><n>73</n><type>special</type><id>3646197</id></value><value><comment>37</comment><event_incident_typefk>352</event_incident_typefk><elapsed>69</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>63</awaypos><homepos>37</homepos><n>123</n><type>special</type><id>3646619</id></value><value><comment>36</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>11</sortorder><awaypos>64</awaypos><homepos>36</homepos><n>167</n><type>special</type><id>3646942</id></value></possession>,58.3489361702,48.429787234,70.5910638298,248.29787234,16.0,6.21,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,7,0,2,1,0,3,0,0,2,0,0,2,0,0,18,12
0,20,5,4,4,0,Swansea,2,1,4,14,0,2,14,5,1,0,0,Manchester United,M Dean,0,Stretford ,Old Trafford ,75811.0,England,2014/2015,2014-08-16,10260,10003,<possession><value><comment>60</comment><event_incident_typefk>352</event_incident_typefk><elapsed>21</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>40</awaypos><homepos>60</homepos><n>38</n><type>special</type><id>3645530</id></value><value><comment>61</comment><event_incident_typefk>352</event_incident_typefk><elapsed>43</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>39</awaypos><homepos>61</homepos><n>83</n><type>special</type><id>3645585</id></value><value><comment>58</comment><event_incident_typefk>352</event_incident_typefk><elapsed>66</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>42</awaypos><homepos>58</homepos><n>128</n><type>special</type><id>3645633</id></value><value><comment>58</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>7</sortorder><awaypos>42</awaypos><homepos>58</homepos><n>178</n><type>special</type><id>3645689</id></value></possession>,57.575,49.775,75.9377083333,246.041666667,11.9083333333,6.21,0,0,0,1,0,0,1,1,1,1,0,6,0,0,0,0,3,0,2,0,0,3,0,0,0,0,0,1,0,0,28,5
9,10,11,4,2,0,Hull,1,0,8,10,0,1,19,6,0,0,1,Queens Park Rangers,C Pawson,0,London ,Loftus Road ,18439.0,England,2014/2015,2014-08-16,10172,8667,<possession><value><comment>46</comment><event_incident_typefk>352</event_incident_typefk><elapsed>22</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>54</awaypos><homepos>46</homepos><n>41</n><type>special</type><id>3645947</id></value><value><comment>49</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>3</sortorder><awaypos>51</awaypos><homepos>49</homepos><n>85</n><type>special</type><id>3646227</id></value><value><comment>49</comment><event_incident_typefk>352</event_incident_typefk><elapsed>67</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>51</awaypos><homepos>49</homepos><n>130</n><type>special</type><id>3646597</id></value><value><comment>51</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>6</sortorder><awaypos>49</awaypos><homepos>51</homepos><n>188</n><type>special</type><id>3646949</id></value></possession>,60.125,47.75,65.8958333333,276.25,11.15,6.21,0,0,0,1,1,0,0,0,2,0,0,9,1,0,1,0,4,1,1,1,0,2,0,0,1,0,0,1,1,0,32,21
8,9,7,2,3,0,Aston Villa,1,0,2,14,0,0,12,2,0,0,1,Stoke,A Taylor,0,Stoke-on-Trent ,Britannia Stadium ,27740.0,England,2014/2015,2014-08-16,10194,10252,<possession><value><comment>57</comment><event_incident_typefk>352</event_incident_typefk><elapsed>26</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>43</awaypos><homepos>57</homepos><n>47</n><type>special</type><id>3645989</id></value><value><comment>61</comment><event_incident_typefk>352</event_incident_typefk><elapsed>44</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>39</awaypos><homepos>61</homepos><n>100</n><type>special</type><id>3646199</id></value><value><comment>62</comment><event_incident_typefk>352</event_incident_typefk><elapsed>70</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>38</awaypos><homepos>62</homepos><n>178</n><type>special</type><id>3646630</id></value><value><comment>65</comment><event_incident_typefk>352</event_incident_typefk><elapsed>89</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>35</awaypos><homepos>65</homepos><n>198</n><type>special</type><id>3646895</id></value></possession>,57.575,48.8,73.5795833333,247.916666667,13.2,6.21,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,2,1,1,0,0,5,0,0,2,0,1,2,0,0,21,24
3,9,7,2,1,0,Sunderland,2,2,6,18,0,3,10,5,1,1,1,West Bromwich Albion,N Swarbrick,1,West Bromwich ,The Hawthorns ,27877.0,England,2014/2015,2014-08-16,8659,8472,<possession><value><comment>66</comment><event_incident_typefk>352</event_incident_typefk><elapsed>21</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>34</awaypos><homepos>66</homepos><n>20</n><type>special</type><id>3645933</id></value><value><comment>65</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>35</awaypos><homepos>65</homepos><n>61</n><type>special</type><id>3646222</id></value><value><comment>62</comment><event_incident_typefk>352</event_incident_typefk><elapsed>68</elapsed><subtype>possession</subtype><sortorder>3</sortorder><awaypos>38</awaypos><homepos>62</homepos><n>93</n><type>special</type><id>3646612</id></value><value><comment>57</comment><event_incident_typefk>352</event_incident_typefk><elapsed>88</elapsed><subtype>possession</subtype><sortorder>2</sortorder><awaypos>43</awaypos><homepos>57</homepos><n>125</n><type>special</type><id>3646875</id></value></possession>,58.6625,48.0875,68.9108333333,239.166666667,8.7,6.21,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,1,0,0,20,11
6,11,12,6,2,0,Southampton,1,2,2,8,0,1,12,5,0,1,3,Liverpool,M Clattenburg,3,Liverpool ,Anfield ,45276.0,England,2014/2015,2014-08-17,8650,8466,<possession><value><comment>70</comment><event_incident_typefk>352</event_incident_typefk><elapsed>20</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>30</awaypos><homepos>70</homepos><n>56</n><type>special</type><id>3649422</id></value><value><comment>59</comment><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>41</awaypos><homepos>59</homepos><n>101</n><type>special</type><id>3649551</id></value><value><comment>58</comment><event_incident_typefk>352</event_incident_typefk><elapsed>67</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>42</awaypos><homepos>58</homepos><n>149</n><type>special</type><id>3649714</id></value><value><comment>56</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>8</sortorder><awaypos>44</awaypos><homepos>56</homepos><n>205</n><type>special</type><id>3649771</id></value></possession>,58.5695652174,50.547826087,75.3269565217,269.782608696,22.8760869565,6.12913043478,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,1,4,1,0,0,0,4,0,1,1,0,0,2,2,1,13,31
3,11,13,5,5,0,Manchester City,2,0,3,8,0,1,12,0,1,0,0,Newcastle United,M Atkinson,0,Newcastle upon Tyne ,Sports Direct Arena,52409.0,England,2014/2015,2014-08-17,10261,8456,<possession><value><comment>41</comment><event_incident_typefk>352</event_incident_typefk><elapsed>24</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>59</awaypos><homepos>41</homepos><n>34</n><type>special</type><id>3650013</id></value><value><comment>44</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>45</elapsed><subtype>possession</subtype><sortorder>6</sortorder><awaypos>56</awaypos><homepos>44</homepos><n>87</n><type>special</type><id>3650254</id></value><value><comment>43</comment><event_incident_typefk>352</event_incident_typefk><elapsed>68</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>57</awaypos><homepos>43</homepos><n>138</n><type>special</type><id>3650512</id></value><value><comment>45</comment><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>55</awaypos><homepos>45</homepos><n>171</n><type>special</type><id>3650730</id></value></possession>,55.6739130435,48.5130434783,77.4941304348,270.0,20.752173913,6.21,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,7,0,2,0,0,5,0,1,1,1,0,2,0,0,21,13
3,7,11,3,1,0,Chelsea,3,1,4,6,0,1,9,2,3,1,0,Burnley,M Oliver,0,Burnley ,Turf Moor ,22546.0,England,2014/2015,2014-08-18,8191,8455,<possession><value><comment>35</comment><event_incident_typefk>352</event_incident_typefk><elapsed>23</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>65</awaypos><homepos>35</homepos><n>49</n><type>special</type><id>3652653</id></value><value><comment>35</comment><event_incident_typefk>352</event_incident_typefk><elapsed>44</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>65</awaypos><homepos>35</homepos><n>89</n><type>special</type><id>3652713</id></value><value><comment>36</comment><event_incident_typefk>352</event_incident_typefk><elapsed>65</elapsed><subtype>possession</subtype><sortorder>0</sortorder><awaypos>64</awaypos><homepos>36</homepos><n>125</n><type>special</type><id>3652773</id></value><value><comment>38</comment><elapsed_plus>1</elapsed_plus><event_incident_typefk>352</event_incident_typefk><elapsed>90</elapsed><subtype>possession</subtype><sortorder>1</sortorder><awaypos>62</awaypos><homepos>38</homepos><n>162</n><type>special</type><id>3652829</id></value></possession>,53.6382978723,45.5957446809,75.2938297872,302.765957447,13.1617021277,6.21,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,1,3,0,0,0,1,1,1,0,1,21,15
