away_corners,away_fouls,away_shots,away_shots_target,away_yellow_cards,away_red_cards,away_team,full_time_away_goals,full_time_home_goals,home_corners,home_fouls,home_red_cards,home_yellow_cards,home_shots,home_shots_target,half_time_away_goals,half_time_home_goals,half_time_result,home_team,Referee,result,City,Stadium,Capacity,Country,season,date,home_team_api_id,away_team_api_id,home_possession,home_passing,home_aerials,home_shots_against,home_tackles,home_interceptions,home_dribbles,home_fouls_for,away_possession,away_passing,away_aerials,away_shots_against,away_tackles,away_interceptions,away_dribbles,away_fouls_for,temp (F),dew (F),humidity,wind direction,wind speed (mph),prec (in),visibility (mi),home_goal_headers,home_goal_freekicks,home_goal_volleys,home_goal_other,away_goal_headers,away_goal_freekicks,away_goal_volleys,away_goal_other,home_shoton_headers,home_shoton_freekicks,home_shoton_volleys,home_shoton_other,home_shoton_bigchance,away_shoton_headers,away_shoton_freekicks,away_shoton_volleys,away_shoton_other,away_shoton_bigchance,home_shotoff_headers,home_shotoff_freekicks,home_shotoff_volleys,home_shotoff_other,home_shotoff_bigchance,home_shotoff_bad_shot,away_shotoff_headers,away_shotoff_freekicks,away_shotoff_volleys,away_shotoff_other,away_shotoff_bigchance,away_shotoff_bad_shot,home_crosses,away_crosses
3,19,4,2,2,1,Crystal Palace,1,2,9,13,0,2,14,6,1,1,1,Arsenal,J Moss,3,London ,Emirates Stadium ,60361.0,England,2014/2015,2014-08-16 15:00:00,9825,9826,77,83.8,19.8,10.7,19.4,20.2,15.8,11.0,23,69.4,23.7,13.8,20.8,15.8,9.4,11.4,68.0,47.3,47.49,270.0,16.15,0.0,6.21,1,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,3,0,1,1,0,3,0,0,0,0,0,0,0,0,32,9
5,10,10,4,0,1,Tottenham,1,0,8,12,1,1,18,4,0,0,1,West Ham,C Foy,0,London ,Boleyn Ground ,35303.0,England,2014/2015,2014-08-16 15:00:00,8654,8586,47,74.6,22.9,15.5,17.0,13.3,6.8,11.0,53,81.2,16.0,12.9,21.4,17.8,10.9,10.1,68.0,47.3,47.49,270.0,16.15,0.0,6.21,0,0,0,1,0,0,0,1,1,0,0,5,2,0,0,0,4,1,2,0,0,5,0,0,0,1,0,1,0,0,26,10
4,17,10,3,1,0,Crystal Palace,0,0,9,11,0,2,11,3,0,0,1,Queens Park Rangers,M Jones,1,London ,Loftus Road ,18439.0,England,2014/2015,2014-12-28 15:00:00,10172,9826,54,70.8,21.7,16.4,20.6,14.8,8.1,10.3,46,69.4,23.7,13.8,20.8,15.8,9.4,11.4,37.4,28.4,69.67,20.0,4.6,0.0,6.21,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,4,0,0,0,1,1,0,0,1,0,0,5,0,0,28,19
4,14,12,3,4,0,Crystal Palace,2,1,8,15,0,3,17,4,2,1,0,Stoke,A Marriner,0,Stoke-on-Trent ,Britannia Stadium ,27740.0,England,2014/2015,2015-03-21 15:00:00,10194,9826,57,77.5,24.4,12.0,19.3,13.2,9.4,10.8,43,69.4,23.7,13.8,20.8,15.8,9.4,11.4,50.0,35.6,57.52,10.0,10.4,0.0,6.21,0,0,0,1,0,0,0,1,1,0,0,5,1,0,0,0,3,0,3,0,1,3,0,1,1,1,0,3,0,1,29,11
3,8,8,6,1,0,Crystal Palace,2,2,6,14,0,3,17,4,2,0,0,West Bromwich Albion,M Clattenburg,1,West Bromwich ,The Hawthorns ,27877.0,England,2014/2015,2014-10-25 15:00:00,8659,9826,69,75.0,17.2,14.4,18.3,15.5,6.3,10.7,31,69.4,23.7,13.8,20.8,15.8,9.4,11.4,55.4,49.1,79.325,210.0,8.65,0.0,6.21,0,0,0,0,1,0,0,1,0,0,0,7,0,2,0,0,5,0,0,0,1,7,0,0,0,0,0,2,0,0,27,7
7,19,12,5,2,1,Crystal Palace,3,1,11,12,0,2,22,5,1,0,0,West Ham,M Dean,0,London ,Boleyn Ground ,35303.0,England,2014/2015,2015-02-28 15:00:00,8654,9826,65,74.6,22.9,15.5,17.0,13.3,6.8,11.0,35,69.4,23.7,13.8,20.8,15.8,9.4,11.4,50.0,45.5,84.49,215.0,16.1,0.0,6.21,0,0,0,1,2,0,0,1,1,0,0,4,1,1,0,0,3,0,4,1,0,5,0,0,1,1,0,2,0,0,21,13
5,17,15,6,3,0,Crystal Palace,3,1,4,10,0,2,18,3,1,1,1,Liverpool,J Moss,0,Liverpool ,Anfield ,45276.0,England,2014/2015,2015-05-16 15:00:00,8650,9826,66,82.8,15.0,10.9,21.0,11.6,11.5,12.3,34,69.4,23.7,13.8,20.8,15.8,9.4,11.4,55.4,39.2,54.34,280.0,20.75,0.0,6.21,0,0,0,1,0,1,0,3,1,0,0,7,0,0,0,1,4,0,0,1,0,6,0,1,0,0,1,6,2,0,12,12
4,19,12,7,3,0,Crystal Palace,3,3,11,12,0,1,18,4,1,1,1,Newcastle United,M Jones,1,Newcastle upon Tyne ,Sports Direct Arena,52409.0,England,2014/2015,2014-08-30 15:00:00,10261,9826,67,76.9,17.7,11.7,21.7,16.9,11.7,11.6,33,69.4,23.7,13.8,20.8,15.8,9.4,11.4,66.2,50.0,55.88,280.0,18.4,0.0,6.21,1,0,0,2,0,0,1,2,0,0,0,4,1,0,0,1,4,0,3,0,0,7,0,1,0,0,0,4,0,0,28,12
7,20,11,4,3,0,Crystal Palace,3,2,5,10,0,1,7,4,1,2,3,Burnley,P Dowd,0,Burnley ,Turf Moor ,22546.0,England,2014/2015,2015-01-17 15:00:00,8191,9826,50,70.4,25.1,15.6,16.1,14.9,6.4,10.5,50,69.4,23.7,13.8,20.8,15.8,9.4,11.4,33.8,33.8,100.0,225.0,5.8,0.0,6.21,1,0,0,1,0,0,0,3,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,10,12
2,12,6,0,1,0,Crystal Palace,0,0,5,11,0,1,14,3,0,0,1,Aston Villa,R Madley,1,Birmingham ,Villa Park ,42785.0,England,2014/2015,2015-01-01 15:00:00,10252,9826,70,79.0,18.5,12.6,16.4,12.7,7.6,11.1,30,69.4,23.7,13.8,20.8,15.8,9.4,11.4,53.6,50.0,87.56,195.0,17.85,0.0,6.21,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,2,0,3,2,0,4,0,1,0,0,0,4,0,0,21,13
