away_corners,away_fouls,away_shots,away_shots_target,away_yellow_cards,away_red_cards,away_team,full_time_away_goals,full_time_home_goals,home_corners,home_fouls,home_red_cards,home_yellow_cards,home_shots,home_shots_target,half_time_away_goals,half_time_home_goals,half_time_result,home_team,Referee,result,City,Stadium,Capacity,Country,season,date,home_team_api_id,away_team_api_id,temp (F),dew (F),humidity,wind direction,wind speed (mph),visibility (mi),home_goal_headers,home_goal_freekicks,home_goal_volleys,home_goal_other,away_goal_headers,away_goal_freekicks,away_goal_volleys,away_goal_other,home_shoton_headers,home_shoton_freekicks,home_shoton_volleys,home_shoton_other,home_shoton_bigchance,away_shoton_headers,away_shoton_freekicks,away_shoton_volleys,away_shoton_other,away_shoton_bigchance,home_shotoff_headers,home_shotoff_freekicks,home_shotoff_volleys,home_shotoff_other,home_shotoff_bigchance,home_shotoff_bad_shot,away_shotoff_headers,away_shotoff_freekicks,away_shotoff_volleys,away_shotoff_other,away_shotoff_bigchance,away_shotoff_bad_shot,home_crosses,away_crosses,home_possession,away_possession,at_Emirates Stadium,at_Boleyn Ground,at_King Power Stadium,at_Old Trafford,at_Loftus Road,at_Britannia Stadium,at_The Hawthorns,at_Anfield,at_Sports Direct Arena,at_Turf Moor,at_Villa Park,at_Stamford Bridge,at_Selhurst Park,at_Goodison Park,at_St Mary's Stadium,at_Liberty Stadium,at_KC Stadium,at_Stadium of Light,at_White Hart Lane,at_Etihad Stadium,at_Carrow Road,at_Craven Cottage,at_Cardiff City Stadium,at_Madejski Stadium,at_Molineux Stadium
3,19,4,2,2,1,Crystal Palace,1,2,9,13,0,2,14,6,1,1,1,Arsenal,J Moss,3,London ,Emirates Stadium ,60361.0,England,2014/2015,2014-08-16,9825,9826,62.92,48.32,60.2057777778,269.333333333,12.2644444444,6.21,1,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,3,0,1,1,0,3,0,0,0,0,0,0,0,0,32,9,77,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,10,4,0,1,Tottenham,1,0,8,12,1,1,18,4,0,0,1,West Ham,C Foy,0,London ,Boleyn Ground ,35303.0,England,2014/2015,2014-08-16,8654,8586,62.92,48.32,60.2057777778,269.333333333,12.2644444444,6.21,0,0,0,1,0,0,0,1,1,0,0,5,2,0,0,0,4,1,2,0,0,5,0,0,0,1,0,1,0,0,26,10,47,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,13,3,1,0,Everton,2,2,3,16,0,1,11,3,2,1,0,Leicester,M Jones,1,Leicester ,King Power Stadium ,32500.0,England,2014/2015,2014-08-16,8197,8668,58.3489361702,48.429787234,70.5910638298,248.29787234,16.0,6.21,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,7,0,2,1,0,3,0,0,2,0,0,2,0,0,18,12,36,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,5,4,4,0,Swansea,2,1,4,14,0,2,14,5,1,0,0,Manchester United,M Dean,0,Stretford ,Old Trafford ,75811.0,England,2014/2015,2014-08-16,10260,10003,57.575,49.775,75.9377083333,246.041666667,11.9083333333,6.21,0,0,0,1,0,0,1,1,1,1,0,6,0,0,0,0,3,0,2,0,0,3,0,0,0,0,0,1,0,0,28,5,58,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,11,4,2,0,Hull,1,0,8,10,0,1,19,6,0,0,1,Queens Park Rangers,C Pawson,0,London ,Loftus Road ,18439.0,England,2014/2015,2014-08-16,10172,8667,60.125,47.75,65.8958333333,276.25,11.15,6.21,0,0,0,1,1,0,0,0,2,0,0,9,1,0,1,0,4,1,1,1,0,2,0,0,1,0,0,1,1,0,32,21,51,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,7,2,3,0,Aston Villa,1,0,2,14,0,0,12,2,0,0,1,Stoke,A Taylor,0,Stoke-on-Trent ,Britannia Stadium ,27740.0,England,2014/2015,2014-08-16,10194,10252,57.575,48.8,73.5795833333,247.916666667,13.2,6.21,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,2,1,1,0,0,5,0,0,2,0,1,2,0,0,21,24,65,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,7,2,1,0,Sunderland,2,2,6,18,0,3,10,5,1,1,1,West Bromwich Albion,N Swarbrick,1,West Bromwich ,The Hawthorns ,27877.0,England,2014/2015,2014-08-16,8659,8472,58.6625,48.0875,68.9108333333,239.166666667,8.7,6.21,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,1,0,0,20,11,57,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11,12,6,2,0,Southampton,1,2,2,8,0,1,12,5,0,1,3,Liverpool,M Clattenburg,3,Liverpool ,Anfield ,45276.0,England,2014/2015,2014-08-17,8650,8466,58.5695652174,50.547826087,75.3269565217,269.782608696,22.8760869565,6.12913043478,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,1,4,1,0,0,0,4,0,1,1,0,0,2,2,1,13,31,56,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,13,5,5,0,Manchester City,2,0,3,8,0,1,12,0,1,0,0,Newcastle United,M Atkinson,0,Newcastle upon Tyne ,Sports Direct Arena,52409.0,England,2014/2015,2014-08-17,10261,8456,55.6739130435,48.5130434783,77.4941304348,270.0,20.752173913,6.21,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,7,0,2,0,0,5,0,1,1,1,0,2,0,0,21,13,45,55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,11,3,1,0,Chelsea,3,1,4,6,0,1,9,2,3,1,0,Burnley,M Oliver,0,Burnley ,Turf Moor ,22546.0,England,2014/2015,2014-08-18,8191,8455,53.6382978723,45.5957446809,75.2938297872,302.765957447,13.1617021277,6.21,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,1,3,0,0,0,1,1,1,0,1,21,15,38,62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
